-	t.	0	conjunction	-	-	-	-	abbr	-
-	A.A.A.	0	none	-	-	-	-	abbr	-
-	Inc.	0	none	-	-	-	-	abbr|foreign	-
-	Joh.	0	none	-	-	-	-	abbr	-
-	Ltd.	0	none	-	-	-	-	abbr|foreign	-
-	Luuk.	0	none	-	-	-	-	abbr	-
-	Mark.	0	none	-	-	-	-	abbr	-
-	Matt.	0	none	-	-	-	-	abbr	-
-	Moos.	0	none	-	-	-	-	abbr	-
-	Mr.	0	none	-	-	-	-	abbr	-
-	Mrs.	0	none	-	-	-	-	abbr	-
-	Ms.	0	none	-	-	-	-	abbr	-
-	P.S.	0	none	-	-	-	-	abbr	-
-	R.S.V.P.	0	none	-	-	-	-	abbr	-
-	Room.	0	none	-	-	-	-	abbr	-
-	Sananl.	0	none	-	-	-	-	abbr	-
-	U.S.	0	none	-	-	-	-	abbr|foreign	-
-	al.	0	none	-	-	-	-	abbr|foreign	-
-	al.	0	none	-	-	-	-	abbr	-
-	alk.	0	none	-	-	-	-	abbr	-
-	alkup.	0	none	-	-	-	-	abbr	-
-	ao.	0	none	-	-	-	-	abbr	-
-	arab.	0	none	-	-	-	-	abbr	-
-	as.	0	none	-	-	-	-	abbr	-
-	biol.	0	none	-	-	-	-	abbr	-
-	d.o.o.	0	none	-	-	-	-	abbr|foreign	-
-	e.g.	0	none	-	-	-	-	abbr|foreign	-
-	eKr.	0	none	-	-	-	-	abbr	-
-	eaa.	0	none	-	-	-	-	abbr	-
-	ed.	0	none	-	-	-	-	abbr	-
-	em.	0	none	-	-	-	-	abbr	-
-	engl.	0	none	-	-	-	-	abbr	-
-	ent.	0	none	-	-	-	-	abbr	-
-	esim.	0	none	-	-	-	-	abbr	-
-	esp.	0	none	-	-	-	-	abbr	-
-	etc.	0	none	-	-	-	-	abbr|foreign	-
-	evp	0	none	-	-	-	-	abbr	-
-	evp.	0	none	-	-	-	-	abbr	-
-	harv.	0	none	-	-	-	-	abbr	-
-	hepr.	0	none	-	-	-	-	abbr	-
-	hist.	0	none	-	-	-	-	abbr	-
-	hl.	0	none	-	-	-	-	abbr|foreign	-
-	huom.	0	none	-	-	-	-	abbr	-
-	ital.	0	none	-	-	-	-	abbr	-
-	jKr.	0	none	-	-	-	-	abbr	-
-	jaa.	0	none	-	-	-	-	abbr	-
-	jap.	0	none	-	-	-	-	abbr	-
-	jne.	0	none	-	-	-	-	abbr	-
-	k.	0	none	-	-	-	-	abbr	-
-	kd	0	none	-	-	-	-	abbr	-
-	ke	0	none	-	-	-	-	abbr	-
-	kesk	0	none	-	-	-	-	abbr	-
-	kesk.	0	none	-	-	-	-	abbr	-
-	kft.	0	none	-	-	-	-	abbr	-
-	kiin.	0	none	-	-	-	-	abbr	-
-	kirj.	0	none	-	-	-	-	abbr	-
-	kk	0	none	-	-	-	-	abbr	-
-	klo	0	none	-	-	-	-	abbr	-
-	ko.	0	none	-	-	-	-	abbr	-
-	kok	0	none	-	-	-	-	abbr	-
-	kpl	0	none	-	-	-	-	abbr	-
-	kreik.	0	none	-	-	-	-	abbr	-
-	kreikk.	0	none	-	-	-	-	abbr	-
-	ks.	0	none	-	-	-	-	abbr	-
-	kts.	0	none	-	-	-	-	abbr	-
-	la	0	none	-	-	-	-	abbr	-
-	lat.	0	none	-	-	-	-	abbr	-
-	lääk.	0	none	-	-	-	-	abbr	-
-	m.	0	none	-	-	-	-	abbr	-
-	ma	0	none	-	-	-	-	abbr	-
-	mat.	0	none	-	-	-	-	abbr	-
-	milj.	0	none	-	-	-	-	abbr	-
-	ml.	0	none	-	-	-	-	abbr	-
-	mm.	0	none	-	-	-	-	abbr	-
-	mon.	0	none	-	-	-	-	abbr	-
-	mrd	0	none	-	-	-	-	abbr	-
-	mrd.	0	none	-	-	-	-	abbr	-
-	n.	0	none	-	-	-	-	abbr	-
-	n/a	0	none	-	-	-	-	abbr	-
-	nk.	0	none	-	-	-	-	abbr	-
-	nro	0	none	-	-	-	-	abbr	-
-	ns.	0	none	-	-	-	-	abbr	-
-	nyk.	0	none	-	-	-	-	abbr	-
-	o.s.	0	none	-	-	-	-	abbr	-
-	oik.	0	none	-	-	-	-	abbr	-
-	os.	0	none	-	-	-	-	abbr	-
-	p.	0	none	-	-	-	-	abbr	-
-	paal.	0	none	-	-	-	-	abbr	-
-	pe	0	none	-	-	-	-	abbr	-
-	pp.	0	none	-	-	-	-	abbr	-
